gene_symbol,association_score,disease
IGF1R,0.4422622648150988,Type 2 Diabetes
TSEN15,0.4422076653238463,Type 2 Diabetes
FAM185A,0.4421993770963123,Type 2 Diabetes
ZEB2,0.4420687835316809,Type 2 Diabetes
IGF2BP1,0.4418040417368176,Type 2 Diabetes
LTO1,0.4416911263422199,Type 2 Diabetes
ACTN1,0.4412141333221299,Type 2 Diabetes
GUCY1B1,0.4410750914936224,Type 2 Diabetes
RDH14,0.440772035554046,Type 2 Diabetes
ETAA1,0.4403207231875978,Type 2 Diabetes
MYBL2,0.4403151845420787,Type 2 Diabetes
MINDY1,0.4399120861275842,Type 2 Diabetes
CLEC14A,0.4393020679959776,Type 2 Diabetes
SPRY2,0.4390560918238335,Type 2 Diabetes
CHMP4B,0.4388901910675811,Type 2 Diabetes
QSER1,0.4385573815218296,Type 2 Diabetes
FHIT,0.4380672346420249,Type 2 Diabetes
L3MBTL3,0.4379301999775908,Type 2 Diabetes
CAMK1D,0.43765776299546,Type 2 Diabetes
TET1,0.4375269827598553,Type 2 Diabetes
MRPS30,0.4356768757261908,Type 2 Diabetes
TNFAIP3,0.4355618753993611,Type 2 Diabetes
EIF5A2,0.4352844745308524,Type 2 Diabetes
MACF1,0.4352782837806754,Type 2 Diabetes
MPPED2,0.4350196925282721,Type 2 Diabetes
YKT6,0.4350074066669421,Type 2 Diabetes
ATP2A3,0.4346831924056742,Type 2 Diabetes
PTPN22,0.4345680558079686,Type 2 Diabetes
SIRPA,0.4342120629499522,Type 2 Diabetes
PARD3B,0.4341226163320759,Type 2 Diabetes
BRAF,0.4340940789537293,Type 2 Diabetes
FADS2,0.4340378549093248,Type 2 Diabetes
SNTB1,0.4333629380663365,Type 2 Diabetes
TOX3,0.433338921997504,Type 2 Diabetes
PDZRN4,0.4332119689842502,Type 2 Diabetes
PENK,0.4331885595512293,Type 2 Diabetes
PKIG,0.4331347250526325,Type 2 Diabetes
HK1,0.4328633678670026,Type 2 Diabetes
BACE2,0.4321464660078622,Type 2 Diabetes
IL13,0.4311632116408971,Type 2 Diabetes
RAP1GAP,0.431048501895022,Type 2 Diabetes
BAK1,0.4303101873266505,Type 2 Diabetes
LRRC74A,0.4298282810592073,Type 2 Diabetes
C12orf43,0.4297620868426799,Type 2 Diabetes
GRM8,0.4292453635162047,Type 2 Diabetes
NPC1,0.4290241291341836,Type 2 Diabetes
ARF5,0.4288512156799333,Type 2 Diabetes
PTPRG,0.428791756384158,Type 2 Diabetes
ZBTB38,0.4283563636626494,Type 2 Diabetes
TM4SF4,0.4279222803813722,Type 2 Diabetes
