gene_symbol,molecule_chembl_id,action_type,mechanism_of_action
NR3C2,CHEMBL1200542,AGONIST,Mineralocorticoid receptor agonist
NR3C2,CHEMBL1201010,AGONIST,Mineralocorticoid receptor agonist
NR3C2,CHEMBL1393,ANTAGONIST,Mineralocorticoid receptor antagonist
NR3C2,CHEMBL1200592,AGONIST,Mineralocorticoid receptor agonist
NR3C2,CHEMBL1509,ANTAGONIST,Mineralocorticoid receptor antagonist
NR3C2,CHEMBL1428,ANTAGONIST,Mineralocorticoid receptor antagonist
NR3C2,CHEMBL1480,ANTAGONIST,Mineralocorticoid receptor antagonist
NR3C2,CHEMBL1215331,ANTAGONIST,Mineralocorticoid receptor antagonist
NR3C2,CHEMBL2181929,ANTAGONIST,Mineralocorticoid receptor antagonist
NR3C2,CHEMBL4088896,ANTAGONIST,Mineralocorticoid receptor antagonist
NR3C2,CHEMBL3545393,ANTAGONIST,Mineralocorticoid receptor antagonist
NR3C2,CHEMBL2181927,ANTAGONIST,Mineralocorticoid receptor antagonist
NR3C2,CHEMBL1463345,ANTAGONIST,Mineralocorticoid receptor antagonist
NR3C2,CHEMBL1371200,ANTAGONIST,Mineralocorticoid receptor antagonist
NR3C2,CHEMBL3916929,MODULATOR,Mineralocorticoid receptor modulator
NR3C2,CHEMBL2348780,ANTAGONIST,Mineralocorticoid receptor antagonist
SLC5A1,CHEMBL3039507,INHIBITOR,Sodium/glucose cotransporter 1 inhibitor
SLC5A1,CHEMBL4297625,INHIBITOR,Sodium/glucose cotransporter 1 inhibitor
FGFR3,CHEMBL1201733,INHIBITOR,Fibroblast growth factor receptor 3 inhibitor
FGFR3,CHEMBL482968,INHIBITOR,Fibroblast growth factor receptor 3 inhibitor
FGFR3,CHEMBL1908391,INHIBITOR,Fibroblast growth factor receptor 3 inhibitor
FGFR3,CHEMBL522892,INHIBITOR,Fibroblast growth factor receptor 3 inhibitor
FGFR3,CHEMBL4297848,INHIBITOR,Fibroblast growth factor receptor 3 inhibitor
FGFR3,CHEMBL4297522,INHIBITOR,Fibroblast growth factor receptor 3 inhibitor
FGFR3,CHEMBL3686884,INHIBITOR,Fibroblast growth factor receptor 3 inhibitor
FGFR3,CHEMBL3907479,INHIBITOR,Fibroblast growth factor receptor 3 inhibitor
FGFR3,CHEMBL4650297,INHIBITOR,Fibroblast growth factor receptor 3 inhibitor
ACE,CHEMBL1201011,INHIBITOR,Angiotensin-converting enzyme inhibitor
ACE,CHEMBL1519,INHIBITOR,Angiotensin-converting enzyme inhibitor
ACE,CHEMBL1200534,INHIBITOR,Angiotensin-converting enzyme inhibitor
ACE,CHEMBL3989406,INHIBITOR,Angiotensin-converting enzyme inhibitor
ACE,CHEMBL1168,INHIBITOR,Angiotensin-converting enzyme inhibitor
ACE,CHEMBL3039596,INHIBITOR,Angiotensin-converting enzyme inhibitor
ACE,CHEMBL1694,INHIBITOR,Angiotensin-converting enzyme inhibitor
ACE,CHEMBL1560,INHIBITOR,Angiotensin-converting enzyme inhibitor
ACE,CHEMBL1200343,INHIBITOR,Angiotensin-converting enzyme inhibitor
ACE,CHEMBL419213,INHIBITOR,Angiotensin-converting enzyme inhibitor
ACE,CHEMBL1200659,INHIBITOR,Angiotensin-converting enzyme inhibitor
ACE,CHEMBL1200831,INHIBITOR,Angiotensin-converting enzyme inhibitor
ACE,CHEMBL3544986,INHIBITOR,Angiotensin-converting enzyme inhibitor
ACE,CHEMBL515606,INHIBITOR,Angiotensin-converting enzyme inhibitor
ACE,CHEMBL317094,INHIBITOR,Angiotensin-converting enzyme inhibitor
ACE,CHEMBL589583,INHIBITOR,Angiotensin-converting enzyme inhibitor
ACE,CHEMBL3187812,INHIBITOR,Angiotensin-converting enzyme inhibitor
DRD2,CHEMBL2359670,ANTAGONIST,Dopamine D2 receptor antagonist
DRD2,CHEMBL3989478,ANTAGONIST,Dopamine D2 receptor antagonist
DRD2,CHEMBL1200951,ANTAGONIST,Dopamine D2 receptor antagonist
DRD2,CHEMBL567,ANTAGONIST,Dopamine D2 receptor antagonist
DRD2,CHEMBL1200707,MODULATOR,Dopamine D2 receptor modulator
DRD2,CHEMBL728,ANTAGONIST,Dopamine D2 receptor antagonist
DRD2,CHEMBL1448187,ANTAGONIST,Dopamine D2 receptor antagonist
DRD2,CHEMBL1201087,AGONIST,Dopamine D2 receptor agonist
DRD2,CHEMBL1314751,ANTAGONIST,Dopamine D2 receptor antagonist
DRD2,CHEMBL1200854,ANTAGONIST,Dopamine D2 receptor antagonist
DRD2,CHEMBL2360079,ANTAGONIST,Dopamine D2 receptor antagonist
DRD2,CHEMBL908,ANTAGONIST,Dopamine D2 receptor antagonist
DRD2,CHEMBL1201102,ANTAGONIST,Dopamine D2 receptor antagonist
DRD2,CHEMBL3544974,ANTAGONIST,Dopamine D2 receptor antagonist
DRD2,CHEMBL1112,PARTIAL AGONIST,Dopamine D2 receptor partial agonist
DRD2,CHEMBL2107360,ANTAGONIST,Dopamine D2 receptor antagonist
DRD2,CHEMBL14376,ANTAGONIST,Dopamine D2 receptor antagonist
DRD2,CHEMBL1201052,ANTAGONIST,Dopamine D2 receptor antagonist
DRD2,CHEMBL1200940,ANTAGONIST,Dopamine D2 receptor antagonist
DRD2,CHEMBL1200419,ANTAGONIST,Dopamine D2 receptor antagonist
DRD2,CHEMBL1621,ANTAGONIST,Dopamine D2 receptor antagonist
DRD2,CHEMBL1201,ANTAGONIST,Dopamine D2 receptor antagonist
DRD2,CHEMBL3989824,ANTAGONIST,Dopamine D2 receptor antagonist
DRD2,CHEMBL570,ANTAGONIST,Dopamine D2 receptor antagonist
DRD2,CHEMBL1200948,ANTAGONIST,Dopamine D2 receptor antagonist
DRD2,CHEMBL42,ANTAGONIST,Dopamine D2 receptor antagonist
DRD2,CHEMBL2358147,ANTAGONIST,Dopamine D2 receptor antagonist
DRD2,CHEMBL85,ANTAGONIST,Dopamine D2 receptor antagonist
DRD2,CHEMBL1615372,ANTAGONIST,Dopamine D2 receptor antagonist
DRD2,CHEMBL3188993,ANTAGONIST,Dopamine D2 receptor antagonist
DRD2,CHEMBL1375743,ANTAGONIST,Dopamine D2 receptor antagonist
DRD2,CHEMBL3989833,ANTAGONIST,Dopamine D2 receptor antagonist
DRD2,CHEMBL1201154,ANTAGONIST,Dopamine D2 receptor antagonist
DRD2,CHEMBL2105760,PARTIAL AGONIST,Dopamine D2 receptor partial agonist
DRD2,CHEMBL2024517,MODULATOR,Dopamine D2 receptor modulator
DRD2,CHEMBL2219425,PARTIAL AGONIST,Dopamine D2 receptor partial agonist
DRD2,CHEMBL3545388,MODULATOR,Dopamine D2 receptor modulator
DRD2,CHEMBL3545010,MODULATOR,Dopamine D2 receptor modulator
DRD2,CHEMBL2104864,PARTIAL AGONIST,Dopamine D2 receptor partial agonist
DRD2,CHEMBL5314394,ANTAGONIST,Dopamine D2 receptor antagonist
DRD2,CHEMBL2146110,PARTIAL AGONIST,Dopamine D2 receptor partial agonist
DRD2,CHEMBL596802,MODULATOR,Dopamine D2 receptor modulator
DRD2,CHEMBL3306803,ANTAGONIST,Dopamine D2 receptor antagonist
DRD2,CHEMBL218166,PARTIAL AGONIST,Dopamine D2 receptor partial agonist
DRD2,CHEMBL22242,ANTAGONIST,Dopamine D2 receptor antagonist
DRD2,CHEMBL3989556,ANTAGONIST,Dopamine D2 receptor antagonist
DRD2,CHEMBL12713,ANTAGONIST,Dopamine D2 receptor antagonist
DRD2,CHEMBL2105581,ANTAGONIST,Dopamine D2 receptor antagonist
DRD2,CHEMBL28218,ANTAGONIST,Dopamine D2 receptor antagonist
DRD2,CHEMBL297302,ANTAGONIST,Dopamine D2 receptor antagonist
DRD2,CHEMBL325109,ANTAGONIST,Dopamine D2 receptor antagonist
DRD2,CHEMBL221692,ANTAGONIST,Dopamine D2 receptor antagonist
DRD2,CHEMBL219916,ANTAGONIST,Dopamine D2 receptor antagonist
DRD2,CHEMBL178803,ANTAGONIST,Dopamine D2 receptor antagonist
DRD2,CHEMBL26,ANTAGONIST,Dopamine D2 receptor antagonist
DRD2,CHEMBL2107457,ANTAGONIST,Dopamine D2 receptor antagonist
DRD2,CHEMBL419792,AGONIST,Dopamine D2 receptor agonist
DRD2,CHEMBL290194,ANTAGONIST,Dopamine D2 receptor antagonist
DRD2,CHEMBL84158,ANTAGONIST,Dopamine D2 receptor antagonist
DRD2,CHEMBL3234237,ANTAGONIST,Dopamine D2 receptor antagonist
DRD2,CHEMBL267044,ANTAGONIST,Dopamine D2 receptor antagonist
DRD2,CHEMBL399510,ANTAGONIST,Dopamine D2 receptor antagonist
DRD2,CHEMBL2218861,AGONIST,Dopamine D2 receptor agonist
DRD2,CHEMBL1774080,PARTIAL AGONIST,Dopamine D2 receptor partial agonist
DRD2,CHEMBL4650342,AGONIST,Dopamine D2 receptor agonist
DRD2,CHEMBL46516,INHIBITOR,Dopamine D2 receptor inhibitor
DRD2,CHEMBL4650340,ANTAGONIST,Dopamine D2 receptor antagonist
DRD2,CHEMBL1584,ANTAGONIST,Dopamine D2 receptor antagonist
TFRC,CHEMBL2109494,ANTAGONIST,Transferrin receptor protein 1 antagonist
LEPR,CHEMBL2107857,AGONIST,Leptin receptor agonist
LEPR,CHEMBL4650509,AGONIST,Leptin receptor agonist
CCND1,CHEMBL1206245,INHIBITOR,G1/S-specific cyclin D1 inhibitor
DRD4,CHEMBL2146110,AGONIST,Dopamine D4 receptor agonist
DRD4,CHEMBL304902,ANTAGONIST,Dopamine D4 receptor antagonist
NKX6-3,CHEMBL1471,ANTAGONIST,Neurokinin 1 receptor antagonist
NKX6-3,CHEMBL1201782,ANTAGONIST,Neurokinin 1 receptor antagonist
NKX6-3,CHEMBL206253,ANTAGONIST,Neurokinin 1 receptor antagonist
NKX6-3,CHEMBL3707330,ANTAGONIST,Neurokinin 1 receptor antagonist
NKX6-3,CHEMBL2104927,ANTAGONIST,Neurokinin 1 receptor antagonist
NKX6-3,CHEMBL105060,ANTAGONIST,Neurokinin 1 receptor antagonist
NKX6-3,CHEMBL2104992,ANTAGONIST,Neurokinin 1 receptor antagonist
NKX6-3,CHEMBL2105667,ANTAGONIST,Neurokinin 1 receptor antagonist
NKX6-3,CHEMBL447955,ANTAGONIST,Neurokinin 1 receptor antagonist
NKX6-3,CHEMBL3544984,ANTAGONIST,Neurokinin 1 receptor antagonist
NKX6-3,CHEMBL3544947,ANTAGONIST,Neurokinin 1 receptor antagonist
NKX6-3,CHEMBL522302,ANTAGONIST,Neurokinin 1 receptor antagonist
NKX6-3,CHEMBL515966,ANTAGONIST,Neurokinin 1 receptor antagonist
NKX6-3,CHEMBL1672054,ANTAGONIST,Neurokinin 1 receptor antagonist
NKX6-3,CHEMBL3989919,ANTAGONIST,Neurokinin 1 receptor antagonist
NKX6-3,CHEMBL4802157,ANTAGONIST,Neurokinin 1 receptor antagonist
CALCR,CHEMBL4594248,AGONIST,Calcitonin receptor agonist
CALCR,CHEMBL3989767,AGONIST,Calcitonin receptor agonist
CALCR,CHEMBL3545415,AGONIST,Calcitonin receptor agonist
CALCR,CHEMBL4594242,AGONIST,Calcitonin receptor agonist
FTO,CHEMBL25336,INHIBITOR,Alpha-ketoglutarate-dependent dioxygenase FTO inhibitor
DRD3,CHEMBL1009,AGONIST,Dopamine D3 receptor agonist
DRD3,CHEMBL908,ANTAGONIST,Dopamine D3 receptor antagonist
DRD3,CHEMBL2024517,MODULATOR,Dopamine D3 receptor modulator
DRD3,CHEMBL1823681,AGONIST,Dopamine D3 receptor agonist
DRD3,CHEMBL2146110,AGONIST,Dopamine D3 receptor agonist
DRD3,CHEMBL221692,ANTAGONIST,Dopamine D3 receptor antagonist
DRD3,CHEMBL178803,ANTAGONIST,Dopamine D3 receptor antagonist
DRD3,CHEMBL439338,ANTAGONIST,Dopamine D3 receptor antagonist
DRD3,CHEMBL84158,ANTAGONIST,Dopamine D3 receptor antagonist
DRD3,CHEMBL4594447,ANTAGONIST,Dopamine D3 receptor antagonist
DRD3,CHEMBL4650340,ANTAGONIST,Dopamine D3 receptor antagonist
MC4R,CHEMBL1090488,AGONIST,Melanocortin receptor 4 agonist
MC4R,CHEMBL3301624,AGONIST,Melanocortin receptor 4 agonist
