action_type,binding_site_comment,direct_interaction,disease_efficacy,max_phase,mec_id,mechanism_comment,mechanism_of_action,mechanism_refs,molecular_mechanism,molecule_chembl_id,parent_molecule_chembl_id,record_id,selectivity_comment,site_id,target_chembl_id,variant_sequence,gene_symbol
AGONIST,,1,1,4,531,,Insulin receptor agonist,"[{'ref_id': 'label/2015/022472s006s008lbl.pdf', 'ref_type': 'FDA', 'ref_url': 'http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/022472s006s008lbl.pdf'}]",1,CHEMBL1201540,CHEMBL1201540,3130887,,,CHEMBL1981,,INSR
AGONIST,,1,1,4,532,,Insulin receptor agonist,"[{'ref_id': 'label/2015/022472s006s008lbl.pdf', 'ref_type': 'FDA', 'ref_url': 'http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/022472s006s008lbl.pdf'}]",1,CHEMBL1201629,CHEMBL1201629,2793535,,,CHEMBL1981,,INSR
AGONIST,,1,1,4,533,,Insulin receptor agonist,"[{'ref_id': 'label/2015/022472s006s008lbl.pdf', 'ref_type': 'FDA', 'ref_url': 'http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/022472s006s008lbl.pdf'}]",1,CHEMBL1201644,CHEMBL1201644,3130889,,,CHEMBL1981,,INSR
AGONIST,,1,1,4,537,,Insulin receptor agonist,"[{'ref_id': 'setid=457531f0-9331-47fe-90b5-b31f284044dc', 'ref_type': 'DailyMed', 'ref_url': 'http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=457531f0-9331-47fe-90b5-b31f284044dc'}]",1,CHEMBL1201631,CHEMBL1201631,1696747,,,CHEMBL1981,,INSR
AGONIST,,1,1,4,542,,Insulin receptor agonist,"[{'ref_id': 'label/2015/022472s006s008lbl.pdf', 'ref_type': 'FDA', 'ref_url': 'http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/022472s006s008lbl.pdf'}]",1,CHEMBL1201630,CHEMBL1201630,2792870,,,CHEMBL1981,,INSR
AGONIST,,1,1,4,543,,Insulin receptor agonist,"[{'ref_id': 'label/2015/022472s006s008lbl.pdf', 'ref_type': 'FDA', 'ref_url': 'http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/022472s006s008lbl.pdf'}]",1,CHEMBL1201545,CHEMBL1201545,3130924,,,CHEMBL1981,,INSR
AGONIST,,1,1,4,545,,Insulin receptor agonist,"[{'ref_id': 'setid=c8ecbd7a-0e22-4fc7-a503-faa58c1b6f3f', 'ref_type': 'DailyMed', 'ref_url': 'http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c8ecbd7a-0e22-4fc7-a503-faa58c1b6f3f'}]",1,CHEMBL1201611,CHEMBL1201611,3131752,,,CHEMBL1981,,INSR
AGONIST,,1,1,4,547,,Insulin receptor agonist,"[{'ref_id': 'setid=c8ecbd7a-0e22-4fc7-a503-faa58c1b6f3f', 'ref_type': 'DailyMed', 'ref_url': 'http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c8ecbd7a-0e22-4fc7-a503-faa58c1b6f3f'}]",1,CHEMBL1201538,CHEMBL1201538,1696740,,,CHEMBL1981,,INSR
AGONIST,,1,1,4,548,,Insulin receptor agonist,"[{'ref_id': 'setid=e7af6a7a-8046-4fb4-9979-4ec4230b23aa', 'ref_type': 'DailyMed', 'ref_url': 'http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=e7af6a7a-8046-4fb4-9979-4ec4230b23aa'}]",1,CHEMBL1201613,CHEMBL1201613,1696819,,,CHEMBL1981,,INSR
AGONIST,,1,1,4,550,,Insulin receptor agonist,"[{'ref_id': 'setid=b861fdd9-e134-436e-8c0c-a60dd0006dd3', 'ref_type': 'DailyMed', 'ref_url': 'http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=b861fdd9-e134-436e-8c0c-a60dd0006dd3'}]",1,CHEMBL1201497,CHEMBL1201497,1696744,,,CHEMBL1981,,INSR
